"latitude","longitude"
51.48494325,-.13841374
51.48572383,-.13762176
51.48617133,-.13461550
51.48706524,-.13815934
51.48724414,-.13719496
51.48743044,-.13612719
51.48750828,-.14383027
51.48758336,-.14252687
51.48768505,-.13452201
51.48776983,-.14177968
51.48788880,-.14086398
51.48791898,-.13986801
51.48798739,-.14003967
51.48806605,-.14103934
51.48809112,-.13921899
51.48809914,-.14068028
51.48832445,-.13772209
51.48849477,-.14290617
51.48849993,-.14520902
51.48850246,-.14167968
51.48858411,-.14625932
51.48858944,-.13411389
51.48869850,-.13715424
51.48876433,-.14530291
51.48895525,-.13868055
51.48917738,-.13648347
51.48922052,-.12938045
51.48923287,-.14137096
51.48923450,-.13453799
51.48930414,-.13791694
51.48945972,-.13898647
51.48946355,-.14445920
51.48947782,-.14230163
51.48947901,-.14026611
51.48953783,-.14298386
51.48963113,-.14144066
51.48968771,-.15082566
51.48975387,-.12960205
51.48976467,-.14574526
51.48976755,-.13144865
51.48976838,-.14149040
51.48979563,-.13685786
51.49012635,-.13783267
51.49016606,-.14703537
51.49024333,-.15365154
51.49025040,-.14274634
51.49032091,-.14552780
51.49035136,-.12725058
51.49036074,-.13803910
51.49038034,-.14220057
51.49041669,-.15441503
51.49053607,-.15545963
51.49059514,-.12821189
51.49062147,-.14470774
51.49064014,-.15273329
51.49064896,-.14545810
51.49068431,-.14611521
51.49068580,-.13812751
51.49068664,-.15074540
51.49074030,-.14290974
51.49075020,-.12936400
51.49078088,-.12859438
51.49084305,-.14462268
51.49088807,-.15323106
51.49102033,-.13007237
51.49106243,-.13191860
51.49118997,-.14359530
51.49119647,-.13388588
51.49132131,-.14492677
51.49148667,-.13888217
51.49151466,-.15231498
51.49152715,-.15563199
51.49160311,-.15003417
51.49161102,-.14200849
51.49164061,-.14075611
51.49165661,-.14633813
51.49167690,-.14579725
51.49169501,-.13883641
51.49170223,-.14858388
51.49173073,-.13683171
51.49179586,-.13444371
51.49182747,-.15456480
51.49184808,-.13989929
51.49192304,-.12539400
51.49192796,-.13257745
51.49199100,-.12892278
51.49200841,-.12563785
51.49204244,-.14187648
51.49206328,-.15009637
51.49218280,-.14116569
51.49218488,-.15496547
51.49230771,-.15137356
51.49238051,-.13608179
51.49242336,-.13338618
51.49243958,-.12888016
51.49246457,-.13693498
51.49248514,-.15294659
51.49253829,-.14266576
51.49266329,-.14023952
51.49267426,-.14295915
51.49271900,-.14860866
51.49286182,-.13975900
51.49296785,-.13669245
51.49299612,-.12764529
51.49299964,-.12754089
51.49301698,-.14591199
51.49302378,-.14217437
51.49302995,-.14473394
51.49313648,-.15318175
51.49314619,-.15001051
51.49319571,-.13961490
51.49319680,-.14585653
51.49320019,-.13948885
51.49337661,-.13357880
51.49340426,-.14806260
51.49340906,-.14144819
51.49343347,-.15437280
51.49345616,-.14553285
51.49349175,-.13739604
51.49353638,-.15011776
51.49357543,-.15529375
51.49360979,-.15293334
51.49362373,-.14226723
51.49367339,-.15478251
51.49368127,-.13306438
51.49392665,-.12843616
51.49393377,-.13299910
51.49395300,-.15127243
